,trial,opinion,activated,algorithm,seed_size,algorithm_time
47,7,611.9477031054189,190,LAIM_solution,40,112.92471694946289
48,8,601.7286961552495,189,LAIM_solution,40,112.79368185997009
49,9,623.8622951502109,216,LAIM_solution,40,112.49808406829834
50,0,598.7872605030976,212,LAIM_solution,50,136.85219192504883
51,1,605.9337467019719,214,LAIM_solution,50,138.01575803756714
52,2,629.6137928578528,246,LAIM_solution,50,137.0570569038391
53,3,613.3755694997457,227,LAIM_solution,50,137.37214374542236
54,4,617.2588196831036,219,LAIM_solution,50,136.52731490135193
55,5,630.4802899412819,249,LAIM_solution,50,136.73328304290771
56,6,630.9434801023358,229,LAIM_solution,50,136.52073788642883
57,7,616.5280218949231,222,LAIM_solution,50,138.01266932487488
58,8,607.607139351163,216,LAIM_solution,50,137.42256617546082
59,9,603.8070635879623,211,LAIM_solution,50,136.96050572395325
60,0,622.6082657876898,237,LAIM_solution,60,161.1916217803955
61,1,642.3861066818173,263,LAIM_solution,60,160.49747014045715
62,2,627.4098401976485,256,LAIM_solution,60,160.85871410369873
63,3,641.656426134843,284,LAIM_solution,60,161.5770833492279
64,4,627.7052259265014,273,LAIM_solution,60,160.5697500705719
65,5,622.3799861922853,237,LAIM_solution,60,160.8830690383911
66,6,643.487421039512,275,LAIM_solution,60,160.31942677497864
67,7,633.2407188081675,257,LAIM_solution,60,161.16608905792236
68,8,609.6433684899139,235,LAIM_solution,60,160.88871216773987
69,9,602.2886186526808,221,LAIM_solution,60,160.85332703590393
70,0,642.1659405698279,272,LAIM_solution,70,183.03161692619324
71,1,650.0969951031403,282,LAIM_solution,70,184.92870497703552
72,2,633.842768431439,270,LAIM_solution,70,183.68166613578796
73,3,635.2282516110866,262,LAIM_solution,70,183.53218793869019
74,4,651.2691318817436,290,LAIM_solution,70,183.8492591381073
75,5,633.8250709044028,261,LAIM_solution,70,183.1782410144806
76,6,618.2706660208017,243,LAIM_solution,70,183.82166981697083
77,7,628.4501710388143,244,LAIM_solution,70,184.2964379787445
78,8,644.3455921782472,273,LAIM_solution,70,182.70224690437317
79,9,633.1546168387465,273,LAIM_solution,70,184.31366086006165
80,0,639.6047434849696,281,LAIM_solution,80,205.12329292297363
81,1,618.1140182598546,257,LAIM_solution,80,205.95370984077454
82,2,649.9824153358522,275,LAIM_solution,80,205.48423218727112
83,3,656.5347403952929,297,LAIM_solution,80,205.33455896377563
84,4,633.8504279738693,287,LAIM_solution,80,205.10937309265137
85,5,641.3543482924468,261,LAIM_solution,80,205.43154525756836
86,6,645.8913044760574,272,LAIM_solution,80,205.93751907348633
87,7,652.4959642039928,285,LAIM_solution,80,206.2730700969696
88,8,632.8090747202916,284,LAIM_solution,80,205.74908304214478
89,9,651.9128575738763,312,LAIM_solution,80,205.0648000240326
90,0,653.4340865918999,298,LAIM_solution,90,226.7663757801056
91,1,672.2429696322141,311,LAIM_solution,90,224.810063123703
92,2,661.3062854528176,308,LAIM_solution,90,226.10791015625
93,3,666.017685766677,318,LAIM_solution,90,227.15369701385498
94,4,666.0723828251264,308,LAIM_solution,90,227.58845806121826
95,5,664.8722577129004,325,LAIM_solution,90,226.53468489646912
96,6,642.5563273507237,289,LAIM_solution,90,226.91492891311646
97,7,665.0138717897428,302,LAIM_solution,90,226.93849396705627
98,8,670.7994665445789,331,LAIM_solution,90,225.8824450969696
99,9,650.7921567382191,294,LAIM_solution,90,226.30522203445435
100,0,664.0801563383408,329,LAIM_solution,100,246.02605605125427
101,1,660.017432837751,332,LAIM_solution,100,247.80417585372925
102,2,643.9452000387149,287,LAIM_solution,100,246.24785995483398
103,3,657.5336559225315,323,LAIM_solution,100,247.05643606185913
104,4,696.670258800819,346,LAIM_solution,100,246.5361602306366
105,5,695.4657739218956,369,LAIM_solution,100,247.08610200881958
106,6,649.9660172698344,308,LAIM_solution,100,245.65981101989746
107,7,646.1344914557137,312,LAIM_solution,100,246.1416621208191
108,8,659.2576292196029,319,LAIM_solution,100,247.49105501174927
109,9,655.995568103288,323,LAIM_solution,100,247.07677388191223
0,0,500.16007328270626,1,random_solution,1,6.508827209472656e-05
1,1,495.0589505177755,1,random_solution,1,0.00032591819763183594
2,2,507.13180483757117,1,random_solution,1,8.296966552734375e-05
3,3,503.3678615312368,2,random_solution,1,5.7697296142578125e-05
4,4,505.37779659618775,1,random_solution,1,6.175041198730469e-05
5,5,502.29662275038294,1,random_solution,1,4.887580871582031e-05
6,6,499.62770165157406,1,random_solution,1,5.984306335449219e-05
7,7,508.4430221046706,1,random_solution,1,6.29425048828125e-05
8,8,513.1975100249247,32,random_solution,1,5.5789947509765625e-05
9,9,518.2933821663977,1,random_solution,1,0.0002040863037109375
10,0,503.77764181594563,18,random_solution,10,0.00010228157043457031
11,1,508.4292891827422,17,random_solution,10,7.724761962890625e-05
12,2,521.9020886238769,13,random_solution,10,7.867813110351562e-05
13,3,504.520267544496,10,random_solution,10,8.177757263183594e-05
14,4,511.6966880718858,19,random_solution,10,7.677078247070312e-05
15,5,496.87692185232146,23,random_solution,10,8.320808410644531e-05
16,6,518.2792918117746,13,random_solution,10,6.604194641113281e-05
17,7,521.2305361681713,24,random_solution,10,8.392333984375e-05
18,8,517.2995303171851,20,random_solution,10,0.0002269744873046875
19,9,519.4216946308464,20,random_solution,10,7.82012939453125e-05
20,0,533.552440715454,37,random_solution,20,7.510185241699219e-05
21,1,509.2954252764659,22,random_solution,20,7.796287536621094e-05
22,2,526.2698770291752,52,random_solution,20,6.890296936035156e-05
23,3,524.8640184941984,43,random_solution,20,7.510185241699219e-05
24,4,537.8087323489233,40,random_solution,20,0.00011897087097167969
25,5,520.5136948189106,32,random_solution,20,7.486343383789062e-05
26,6,521.150548737063,38,random_solution,20,7.605552673339844e-05
27,7,516.4163766944423,38,random_solution,20,8.392333984375e-05
28,8,515.4898121527018,29,random_solution,20,8.0108642578125e-05
29,9,534.040965706179,39,random_solution,20,8.177757263183594e-05
30,0,544.4505079668402,82,random_solution,30,9.179115295410156e-05
31,1,534.8306728543835,48,random_solution,30,8.106231689453125e-05
32,2,524.1372080529266,41,random_solution,30,8.487701416015625e-05
33,3,522.5177096244979,47,random_solution,30,8.797645568847656e-05
34,4,534.8489080695019,61,random_solution,30,0.0001049041748046875
35,5,529.1415856453758,57,random_solution,30,0.00011110305786132812
36,6,527.4553354966906,63,random_solution,30,9.894371032714844e-05
37,7,516.7567937733451,44,random_solution,30,8.58306884765625e-05
38,8,525.9812548845715,40,random_solution,30,8.320808410644531e-05
39,9,523.2869122089968,49,random_solution,30,8.702278137207031e-05
40,0,525.5662622580916,62,random_solution,40,0.00031185150146484375
41,1,521.7208112556963,67,random_solution,40,9.131431579589844e-05
42,2,532.1175270954449,74,random_solution,40,7.796287536621094e-05
43,3,522.6948900524411,76,random_solution,40,9.202957153320312e-05
44,4,533.0527224673892,75,random_solution,40,9.298324584960938e-05
45,5,560.8037675480646,85,random_solution,40,0.00010895729064941406
46,6,547.5264911213877,68,random_solution,40,9.298324584960938e-05
47,7,538.7471858502947,72,random_solution,40,9.012222290039062e-05
48,8,542.3703792639327,72,random_solution,40,8.916854858398438e-05
49,9,545.5780753636479,74,random_solution,40,8.296966552734375e-05
50,0,549.4653495901855,97,random_solution,50,0.00026106834411621094
51,1,554.9877319958006,73,random_solution,50,0.00012230873107910156
52,2,526.3837425168907,83,random_solution,50,9.584426879882812e-05
53,3,531.5169745967723,74,random_solution,50,0.00010275840759277344
54,4,540.7605626204157,94,random_solution,50,8.702278137207031e-05
55,5,550.1708843815692,77,random_solution,50,9.489059448242188e-05
56,6,544.2252658075842,73,random_solution,50,9.322166442871094e-05
57,7,554.3544536151082,103,random_solution,50,9.703636169433594e-05
58,8,550.6294180875213,88,random_solution,50,9.894371032714844e-05
59,9,553.9625296104831,73,random_solution,50,9.489059448242188e-05
60,0,567.1993621880052,99,random_solution,60,9.799003601074219e-05
61,1,571.7304766222713,118,random_solution,60,9.775161743164062e-05
62,2,555.7408401325639,121,random_solution,60,9.393692016601562e-05
63,3,547.242243899832,105,random_solution,60,0.00010514259338378906
64,4,563.8169944568598,107,random_solution,60,0.00010538101196289062
65,5,548.2636013890107,101,random_solution,60,0.00011110305786132812
66,6,551.7559835582946,108,random_solution,60,0.00011301040649414062
67,7,538.2659230027339,93,random_solution,60,0.00013208389282226562
