,trial,opinion,activated,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
17,1,168214.37923574462,1574,random_solution,800,0.005385875701904297,polarized,random,False
18,0,168363.09926875125,1862,random_solution,900,0.0045359134674072266,polarized,random,False
19,1,168652.51011179513,1755,random_solution,900,0.006645917892456055,polarized,random,False
20,0,168504.26674371425,1983,random_solution,1000,0.0048329830169677734,polarized,random,False
21,1,168463.20923592924,1959,random_solution,1000,0.004648923873901367,polarized,random,False
0,0,167273.24554560997,1,random_solution,1,0.004271268844604492,polarized,random,True
1,1,167232.1962434573,1,random_solution,1,0.004271030426025391,polarized,random,True
2,0,167616.42463386134,200,random_solution,100,0.005239725112915039,polarized,random,True
3,1,168137.29744319996,163,random_solution,100,0.004187822341918945,polarized,random,True
4,0,167380.13319289047,430,random_solution,200,0.004728078842163086,polarized,random,True
5,1,167622.71797965927,409,random_solution,200,0.004565000534057617,polarized,random,True
6,0,167977.99367835344,609,random_solution,300,0.004058122634887695,polarized,random,True
7,1,167696.44360588482,571,random_solution,300,0.005516767501831055,polarized,random,True
8,0,167863.93750765448,840,random_solution,400,0.004759073257446289,polarized,random,True
9,1,167739.59927782958,739,random_solution,400,0.0042302608489990234,polarized,random,True
10,0,168521.47490604088,1040,random_solution,500,0.004971981048583984,polarized,random,True
11,1,167573.75221501244,958,random_solution,500,0.005032777786254883,polarized,random,True
12,0,167831.8676170716,1168,random_solution,600,0.005160808563232422,polarized,random,True
13,1,168212.6084234492,1202,random_solution,600,0.004617929458618164,polarized,random,True
14,0,168663.70905639674,1334,random_solution,700,0.0057528018951416016,polarized,random,True
15,1,168256.06412719475,1339,random_solution,700,0.00599980354309082,polarized,random,True
16,0,168009.19494106225,1588,random_solution,800,0.006312131881713867,polarized,random,True
17,1,168169.19337611433,1519,random_solution,800,0.004704952239990234,polarized,random,True
18,0,168448.55105571126,1749,random_solution,900,0.005872011184692383,polarized,random,True
19,1,168045.28980743006,1756,random_solution,900,0.006524085998535156,polarized,random,True
20,0,168303.33212689162,2059,random_solution,1000,0.005992889404296875,polarized,random,True
21,1,168350.41737958416,1815,random_solution,1000,0.005466938018798828,polarized,random,True
